DATE,LCULMN01USQ661S
1980-01-01,71.9747692073024
1980-04-01,75.0253554518504
1980-07-01,77.122633494977
1980-10-01,78.3619341568246
1981-01-01,79.9825580992407
1981-04-01,81.5078512215147
1981-07-01,82.7471518833622
1981-10-01,85.0350915667732
1982-01-01,85.607076487626
1982-04-01,85.607076487626
1982-07-01,85.8930689480523
1982-10-01,86.8463771494735
1983-01-01,86.1790614084787
1983-04-01,85.7024073077681
1983-07-01,84.844429926489
1983-10-01,85.3210840271996
1984-01-01,84.7490991063468
1984-04-01,85.0350915667732
1984-07-01,85.4164148473417
1984-10-01,86.465053868905
1985-01-01,87.227700430042
1985-04-01,86.2743922286208
1985-07-01,86.8463771494735
1985-10-01,87.6090237106105
1986-01-01,87.0370387897578
1986-04-01,86.7510463293314
1986-07-01,87.227700430042
1986-10-01,87.227700430042
1987-01-01,88.0401205850609
1987-04-01,87.0594365253638
1987-07-01,86.9998883471659
1987-10-01,86.5253638021512
1988-01-01,88.4634709144367
1988-04-01,89.10268338978
1988-07-01,90.308533998288
1988-10-01,91.0956864788418
1989-01-01,91.1645390598832
1989-04-01,91.519967248502
1989-07-01,92.9537757266739
1989-10-01,93.7437195280807
1990-01-01,92.894227548476
1990-04-01,93.9707469574603
1990-07-01,93.8535114816331
1990-10-01,95.2100934162046
1991-01-01,96.5676057910604
1991-04-01,96.8876772488742
1991-07-01,96.2103167218728
1991-10-01,96.3498827645242
1992-01-01,96.5927276787376
1992-04-01,95.866053816666
1992-07-01,95.4454948081432
1992-10-01,97.139826565931
1993-01-01,92.0317094048904
1993-04-01,95.5543563214113
1993-07-01,96.3368566005434
1993-10-01,97.210540027541
1994-01-01,94.0098254494027
1994-04-01,94.2182440730954
1994-07-01,94.4564367858871
1994-10-01,94.2545312441848
1995-01-01,93.2356991328296
1995-04-01,93.8088503479847
1995-07-01,94.2005657076929
1995-10-01,93.9335293460866
1996-01-01,93.3092039152927
1996-04-01,92.8746883025048
1996-07-01,92.0326398451747
1996-10-01,91.4855409579813
1997-01-01,90.3401689679556
1997-04-01,90.0135844281514
1997-07-01,89.330641259444
1997-10-01,89.6404778741301
1998-01-01,89.7288697011426
1998-04-01,91.0389296214969
1998-07-01,91.2761918940042
1998-10-01,90.7858498641557
1999-01-01,90.7225799248204
1999-04-01,90.3950649447319
1999-07-01,91.3050355428189
1999-10-01,90.9635639584651
2000-01-01,93.7800066991701
2000-04-01,92.1173099110499
2000-07-01,93.9325989058022
2000-10-01,93.3761956157654
2001-01-01,94.2061483493989
2001-04-01,93.9316684655179
2001-07-01,93.7204585209721
2001-10-01,93.2273251702706
2002-01-01,91.381331646135
2002-04-01,90.5262570248241
2002-07-01,89.4199635267409
2002-10-01,89.2897018869329
2003-01-01,88.358331162306
2003-04-01,89.1408314414381
2003-07-01,88.7491160817299
2003-10-01,90.4173955115561
2004-01-01,88.4802188395549
2004-04-01,89.5688339722357
2004-07-01,91.047303584056
2004-10-01,89.8554095798132
2005-01-01,88.3685660054338
2005-04-01,88.2783132978526
2005-07-01,89.1082660314861
2005-10-01,88.6104804793628
2006-01-01,90.3224906025531
2006-04-01,89.9512449291004
2006-07-01,89.3697197513864
2006-10-01,90.077784807771
2007-01-01,90.512300420559
2007-04-01,89.4162417656035
2007-07-01,88.8030816182217
2007-10-01,88.5258104134877
2008-01-01,88.795638095947
2008-04-01,90.6583795452008
2008-07-01,93.0775242844914
2008-10-01,96.9732777550337
2009-01-01,96.1442554616845
2009-04-01,96.5973798801593
2009-07-01,93.508318136142
2009-10-01,92.902601511035
2010-01-01,89.5772079347948
2010-04-01,89.3901894376419
2010-07-01,89.5213815177342
2010-10-01,90.137332985969
2011-01-01,90.5253265845398
2011-04-01,90.7244408053891
2011-07-01,90.4536826826454
2011-10-01,90.0573151215155
2012-01-01,92.2419889091518
2012-04-01,92.9909933380476
2012-07-01,93.2115076854368
2012-10-01,93.7325542446686
2013-01-01,92.2159365811902
2013-04-01,92.2205887826119
2013-07-01,92.6253303063009
2013-10-01,93.0021586214597
2014-01-01,95.1272842308981
2014-04-01,94.448062823328
2014-07-01,95.1598496408501
2014-10-01,97.2161226692471
2015-01-01,99.0444378279802
2015-04-01,99.7878596151699
2015-07-01,100.250288436488
2015-10-01,100.917414120362
2016-01-01,100.025121887677
2016-04-01,100.32565409952
2016-07-01,100.825300532212
2016-10-01,102.117682087164
2017-01-01,103.686404406565
2017-04-01,104.213033607503
2017-07-01,106.180914808888
2017-10-01,106.881536342998
2018-01-01,107.633332092746
2018-04-01,106.037627005099
2018-07-01,107.304886672373
2018-10-01,108.929435408835
2019-01-01,111.111317875619
2019-04-01,112.31995980498
2019-07-01,112.479995533887
2019-10-01,114.868435743794
2020-01-01,116.74234247646
2020-04-01,127.418214299006
2020-07-01,118.05147195653
2020-10-01,120.107744984927
2021-01-01,120.526443112881
2021-04-01,121.010272060739
2021-07-01,121.51829245599
2021-10-01,124.534779857829
2022-01-01,126.274703189549
