DATE,S210400
1988-01-01,2409.0
1988-04-01,2442.0
1988-07-01,2495.0
1988-10-01,2569.0
1989-01-01,2663.0
1989-04-01,2744.000
1989-07-01,2812.0
1989-10-01,2867.000
1990-01-01,2909.0
1990-04-01,2951.0
1990-07-01,2994.0
1990-10-01,3037.0
1991-01-01,3080.0
1991-04-01,3154.0
1991-07-01,3260.0
1991-10-01,3396.0
1992-01-01,3563.0
1992-04-01,3665.0
1992-07-01,3703.0
1992-10-01,3676.0
1993-01-01,3584.0
1993-04-01,3563.0
1993-07-01,3612.0
1993-10-01,3731.0
1994-01-01,3920.0
1994-04-01,4052.0
1994-07-01,4128.0
1994-10-01,4146.0
1995-01-01,4108.0
1995-04-01,4116.0
1995-07-01,4170.0
1995-10-01,4271.0
1996-01-01,4418.0
1996-04-01,4524.0
1996-07-01,4590.0
1996-10-01,4615.0
1997-01-01,4600.0
1997-04-01,4601.0
1997-07-01,4620.0
1997-10-01,4655.0
1998-01-01,4707.0
1998-04-01,4779.000
1998-07-01,4872.0
1998-10-01,4984.0
1999-01-01,5117.0
1999-04-01,5176.000
1999-07-01,5161.0
1999-10-01,5073.0
2000-01-01,4911.000
2000-04-01,4821.000
2000-07-01,4803.0
2000-10-01,4857.0
2001-01-01,4984.0
2001-04-01,5067.0
2001-07-01,5106.0
2001-10-01,5103.0
2002-01-01,5056.0
2002-04-01,5082.0
2002-07-01,5181.0
2002-10-01,5354.0
2003-01-01,5599.0
2003-04-01,5757.0
2003-07-01,5828.0
2003-10-01,5813.0
2004-01-01,5710.0
2004-04-01,5676.0
2004-07-01,5709.0
2004-10-01,5811.0
2005-01-01,5982.0
2005-04-01,6135.0
2005-07-01,6271.0
2005-10-01,6390.0
2006-01-01,6492.0
2006-04-01,6591.0
2006-07-01,6686.0
2006-10-01,6779.0
2007-01-01,6868.0
2007-04-01,6930.0
2007-07-01,6965.0
2007-10-01,6973.0
2008-01-01,6954.0
2008-04-01,6980.0
2008-07-01,7051.0
2008-10-01,7169.0
2009-01-01,7331.0
2009-04-01,7465.0
2009-07-01,7569.0
2009-10-01,7644.0
2010-01-01,7691.0
2010-04-01,7703.0
2010-07-01,7681.0
2010-10-01,7626.0
2011-01-01,7537.0
2011-04-01,7467.0
2011-07-01,7416.0
2011-10-01,7386.0
2012-01-01,7374.0
2012-04-01,7388.0
2012-07-01,7427.0
2012-10-01,7490.0
2013-01-01,7792.0
2013-04-01,8028.0
2013-07-01,8199.0
2013-10-01,8304.0
2014-01-01,8340.0
2014-04-01,8396.0
2014-07-01,8473.0
2014-10-01,8571.0
2015-01-01,8689.0
2015-04-01,8798.0
2015-07-01,8899.0
2015-10-01,8991.0
2016-01-01,9073.0
2016-04-01,9159.0
2016-07-01,9248.0
2016-10-01,9339.0
2017-01-01,9434.0
2017-04-01,9530.0
2017-07-01,9629.0
2017-10-01,9729.0
2018-01-01,9831.0
2018-04-01,9953.0
2018-07-01,10093.0
2018-10-01,10252.0
2019-01-01,10430.0
2019-04-01,10578.0
2019-07-01,10694.0
2019-10-01,10780.0
2020-01-01,10834.0
2020-04-01,10885.0
2020-07-01,10932.0
2020-10-01,10976.0
2021-01-01,11082.0
2021-04-01,11251.0
2021-07-01,11325.0
2021-10-01,11455.0
2022-01-01,11501.0
